row,score
898,18.8705
796,18.8022
3083,18.5423
3681,18.3791
2869,17.5202
3352,16.8552
981,16.2932
2037,16.2058
3130,16.099
1050,15.9765
3085,15.9307
859,15.814
3705,15.7212
3591,15.5087
40,15.2823
1479,14.9766
821,14.7734
992,14.6438
358,14.6026
3898,14.5929
343,14.4551
4004,14.0423
676,13.9383
1096,13.8231
727,13.8225
208,13.7764
775,13.7128
828,13.6265
2496,13.5074
673,13.4967
2557,13.3883
864,13.2672
345,13.251
889,13.2344
2893,13.2093
2993,13.189
2304,13.1704
356,13.1205
881,13.1113
3733,13.1008
831,13.0677
825,12.9714
359,12.8958
3996,12.8788
2585,12.7187
1069,12.6817
816,12.6592
346,12.5589
1520,12.4284
1469,12.4123
880,12.3904
3076,12.368
2450,12.3279
205,12.2287
349,12.2261
1487,12.1542
429,12.0286
2158,11.9947
596,11.9354
788,11.8983
1598,11.7977
207,11.7969
1921,11.747
3125,11.6409
1711,11.6306
599,11.6091
1009,11.6065
3527,11.54
85,11.5171
3586,11.5009
789,11.5006
3720,11.4977
3727,11.4965
204,11.4901
434,11.4479
3038,11.4137
698,11.3981
3700,11.323
1914,11.3143
611,11.2779
3134,11.2592
804,11.2436
1380,11.1832
850,11.0982
149,11.0799
621,11.0644
243,11.0578
3442,11.0556
2921,11.0399
1218,11.0095
548,10.9701
2965,10.9699
665,10.946
1127,10.9297
3715,10.9219
3120,10.9211
2010,10.8832
257,10.873
104,10.8574
2341,10.8358
706,10.8154
213,10.7749
53,10.7261
2009,10.6984
282,10.6131
212,10.6115
126,10.553
959,10.5494
2090,10.5321
1180,10.5208
522,10.4816
598,10.4788
3066,10.4244
184,10.3431
3047,10.3346
1976,10.3022
2984,10.2898
1896,10.2713
353,10.235
472,10.1782
1701,10.1765
3113,10.176
244,10.1721
787,10.1685
1928,10.1463
840,10.1419
1141,10.0897
41,10.0844
187,10.0793
2843,10.0787
2540,10.073
2362,10.0636
3057,10.0379
2411,10.0311
2848,10.0285
96,10.0159
433,9.9619
772,9.8907
3821,9.8124
446,9.7851
3474,9.7569
3016,9.7524
108,9.7282
1879,9.726
1561,9.7158
3481,9.7071
1122,9.6997
3796,9.677
3547,9.6615
3980,9.659
248,9.6479
15,9.6048
284,9.6032
172,9.5972
637,9.5951
35,9.5797
3046,9.5735
852,9.5579
1476,9.557
169,9.5522
710,9.5066
210,9.4991
2280,9.4796
209,9.4705
272,9.4539
1737,9.4514
1905,9.4436
2407,9.4401
936,9.4235
488,9.4169
3059,9.4128
513,9.4089
333,9.3942
2420,9.3897
3428,9.3806
2549,9.3745
1436,9.345
677,9.3311
3559,9.3299
3408,9.3009
2913,9.267
388,9.2548
357,9.24
1908,9.2285
1057,9.2219
905,9.2007
2977,9.154
2133,9.1258
2225,9.0907
3672,9.0604
107,9.0266
105,9.0254
748,9.0155
3781,9.0061
2934,8.9964
523,8.9877
2506,8.983
341,8.9748
3414,8.9638
1707,8.9637
291,8.9252
844,8.9111
2127,8.8995
127,8.8914
914,8.8641
1419,8.8297
98,8.8172
491,8.7818
2636,8.7648
767,8.7585
1468,8.7309
2840,8.7173
10,8.7133
3242,8.6771
3258,8.6623
2234,8.6491
1311,8.6446
1857,8.6441
3843,8.6349
622,8.6313
934,8.6274
232,8.6167
1084,8.6072
1017,8.5866
1658,8.5647
203,8.5367
1022,8.5347
293,8.4919
180,8.4886
2211,8.4746
1907,8.456
2325,8.4324
3137,8.4299
2982,8.4207
389,8.4051
610,8.3908
39,8.3903
1093,8.3879
97,8.3725
616,8.3618
645,8.3512
3358,8.3506
2346,8.3453
1273,8.3393
260,8.3254
211,8.3002
3755,8.2978
473,8.2808
249,8.2643
2171,8.1946
1332,8.1652
342,8.1633
3293,8.1569
1281,8.1208
2507,8.1128
2137,8.1054
486,8.0812
689,8.0618
2681,8.0339
312,8.0084
64,8.0046
2569,7.9953
3052,7.9931
722,7.9897
2455,7.9886
1327,7.9827
1246,7.9737
4006,7.9737
174,7.9721
1775,7.9698
1490,7.9617
1324,7.9565
818,7.9389
80,7.9372
1651,7.9043
1852,7.9043
2267,7.8994
3762,7.8828
2180,7.873
1255,7.8696
1248,7.8531
1114,7.8513
1844,7.8512
1758,7.8467
978,7.8228
895,7.8155
1970,7.8122
3456,7.7879
421,7.7828
1811,7.7823
819,7.7809
220,7.7498
2603,7.7388
680,7.7321
133,7.7215
302,7.7134
340,7.7126
1019,7.7073
8,7.6999
2906,7.6896
3297,7.6476
37,7.6278
3165,7.5753
1747,7.5285
264,7.4733
3532,7.469
1120,7.446
